State,Population
AL,5024279
AK,733391
AZ,113990
AR,53179
CA,39538223
CO,104094
CT,3605944
DE,989948
FL,21538187
GA,59425
HI,10932
ID,83569
IL,12812508
IN,36420
IA,56273
KS,2937880
KY,4505836
LA,4657757
ME,1362359
MD,6177224
MA,10554
MI,10077331
MN,5706494
MS,48432
MO,6154913
MT,1084225
NE,1961504
NV,3104614
NH,1377529
NJ,9288994
NM,2117522
NY,20201249
NC,10439388
ND,779094
OH,44826
OK,69899
OR,4237256
PA,13002700
RI,1545
SC,5118425
SD,886667
TN,42144
TX,29145505
UT,84897
VT,643077
VA,8631393
WA,7705281
WV,24230
WI,5893718
WY,97813
